UPC#12,UPC#11,KEHE#,CUST ITEM#,BRAND,ITEM DESC,SIZE,UOM,PACK,CASE PRICE,RETAIL PRICE,CAT1,CAT2,CAT3,CLASS DESC,DIV DESC,DEPARTMENT,ITEM STATUS,CASE LENGTH,CASE WIDTH,CASE HEIGHT,CASE WEIGHT
093856992193,09385699219,258784,,NATURES CHARM,NATURES CHARM CONDENSED COCONUT MILK,11.25,OZ,6,17.820,4.29,Specialty Groce,BAKING INGREDIE,MILK POWDR CONDENSD,BAKING INGREDIENTS SUPPLIES,SPECIALTY GROCERY,100,ACTIVE,0000009,6.25,3.500,5.250
813026020002,81302602000,258785,,PUKKA HERBS,PUKKA HERBS TEA HERBAL THREE MINT,20.00,BG,6,26.400,6.29,Natural Grocery,TEA,HERBAL TEA - BAGS,TEA,NATURAL GROCERY,100,MANUFACTURER_TEMP_OUT,0000008,6.89,5.910,1.280
813026020019,81302602001,258786,,PUKKA HERBS,PUKKA HERBS TEA HERBAL THREE GINGER,20.00,BG,4,17.600,6.29,Natural Grocery,TEA,HERBAL TEA - BAGS,TEA,NATURAL GROCERY,100,MANUFACTURER_TEMP_OUT,0000011,5.79,3.300,1.000
813026020026,81302602002,258787,,PUKKA HERBS,PUKKA HERBS TEA HERBAL NIGHT TIME,20.00,BG,4,17.600,6.29,Natural Grocery,TEA,HERBAL TEA - BAGS,TEA,NATURAL GROCERY,100,MANUFACTURER_TEMP_OUT,0000011,5.79,3.300,1.000
813026020033,81302602003,258788,,PUKKA HERBS,PUKKA HERBS TEA HERBAL AFTER DINNER,20.00,BG,6,26.400,6.29,Natural Grocery,TEA,HERBAL TEA - BAGS,TEA,NATURAL GROCERY,100,MANUFACTURER_TEMP_OUT,0000008,6.89,5.910,1.330
813026020156,81302602015,258790,,PUKKA HERBS,PUKKA HERBS TEA HERBL CHMOMIL VAN HNY,20.00,BG,4,17.600,6.29,Natural Grocery,TEA,HERBAL TEA - BAGS,TEA,NATURAL GROCERY,100,MANUFACTURER_TEMP_OUT,0000011,5.79,3.300,1.000
813026020088,81302602008,258809,,PUKKA HERBS,PUKKA HERBS TEA HERBAL LMN GNGR HNY,20.00,BG,4,17.600,6.29,Natural Grocery,TEA,HERBAL TEA - BAGS,TEA,NATURAL GROCERY,100,MANUFACTURER_TEMP_OUT,0000011,5.79,3.300,1.000
819005010477,81900501047,258857,,BUDDHA TEAS,BUDDHA TEAS TEA TURMERIC GINGER,18.00,BG,6,26.520,6.39,Natural Grocery,TEA,HERBAL TEA - BAGS,TEA,NATURAL GROCERY,100,ACTIVE,0000016,15.00,12.000,10.000
812891020421,81289102042,258908,,BEANITOS,BEANITOS CHPS WHTE BN LIME SEASLT,5.000,OZ,6,18.960,4.59,Natural Grocery,CHIPS & PRETZEL,CORN & TORTILLA CHIP,CHIPS & PRETZELS,NATURAL GROCERY,100,ACTIVE,0000013,9.50,11.000,2.550
782733311119,78273331111,258948,,TASTY BITE,TASTY BITE RICE BROWN W/ LENTILS WG,8.800,OZ,6,13.980,3.39,Specialty Groce,ENTREE PREPARED,GRAIN & RICE DISHES,ENTREE PREPARED DISHES,SPECIALTY GROCERY,100,ACTIVE,0000014,6.36,9.930,6.600
047600003666,04760000366,258967,,WEBER,WEBER SSNG GARLIC SRIRACHA,3.900,OZ,6,13.320,3.19,Specialty Groce,SPICES SEASONIN,SEASONING LOOSE JAR,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000022,11.37,5.120,21.910
047495710014,04749571001,258985,,NATURES BAKERY,NATURES BAKERY BAR FIG GF BLUEBRRY 12CT,2.000,OZ,12,12.600,1.59,Natural Grocery,BREAKFAST BARS,BREAKFAST BARS/TOAST,BREAKFAST BARS,NATURAL GROCERY,100,ACTIVE,0000017,11.06,5.880,13.340
047495710052,04749571005,258989,,NATURES BAKERY,NATURES BAKERY BAR FIG GF RASPBRRY 12CT,2.000,OZ,12,12.600,1.59,Natural Grocery,BREAKFAST BARS,BREAKFAST BARS/TOAST,BREAKFAST BARS,NATURAL GROCERY,100,MANUFACTURER_TEMP_OUT,0000016,11.25,5.750,10.500
047495710618,04749571061,258990,,NATURES BAKERY,NATURES BAKERY BAR FIG GF BLUEBERRY 6CT,12.00,OZ,6,32.820,7.89,Natural Grocery,BREAKFAST BARS,BREAKFAST BARS/TOAST,BREAKFAST BARS,NATURAL GROCERY,100,ACTIVE,0000014,5.50,6.000,5.600
047495710649,04749571064,258992,,NATURES BAKERY,NATURES BAKERY BAR FIG GF POMGRANTE 6CT,12.00,OZ,6,32.820,7.89,Natural Grocery,BREAKFAST BARS,BREAKFAST BARS/TOAST,BREAKFAST BARS,NATURAL GROCERY,100,ACTIVE,0000014,5.50,6.000,5.600
047495710656,04749571065,258994,,NATURES BAKERY,NATURES BAKERY BAR FIG GF RASPBERRY 6CT,12.00,OZ,6,32.820,7.89,Natural Grocery,BREAKFAST BARS,BREAKFAST BARS/TOAST,BREAKFAST BARS,NATURAL GROCERY,100,ACTIVE,0000014,5.50,6.000,5.600
089836195166,08983619516,259026,,SIMPLY ORGANIC,SIMPLY ORGANIC SPICE CHIPOTLE PWDR BTL,2.650,OZ,6,33.960,8.09,Natural Grocery,SPICES SEASONIN,SEASONING LOOSE JAR,SPICES SEASONING GRAVY COATING,NATURAL GROCERY,100,ACTIVE,0000006,4.60,5.200,3.290
089836195173,08983619517,259027,,SIMPLY ORGANIC,SIMPLY ORGANIC SPICE SMOKED PAPRIKA BTL,2.720,OZ,6,33.960,8.09,Natural Grocery,SPICES SEASONIN,SEASONING LOOSE JAR,SPICES SEASONING GRAVY COATING,NATURAL GROCERY,100,ACTIVE,0000006,4.60,5.200,3.320
089836195180,08983619518,259030,,SIMPLY ORGANIC,SIMPLY ORGANIC SPICE BLK PEPPER COARSE,2.470,OZ,6,33.960,8.09,Natural Grocery,SPICES SEASONIN,SEASONING LOOSE JAR,SPICES SEASONING GRAVY COATING,NATURAL GROCERY,100,ACTIVE,0000006,4.60,5.200,3.220
855188003981,85518800398,259048,,JUSTINS,JUSTINS CHOCOLATE MILK PB MINIS,4.700,OZ,6,25.380,6.99,Specialty Groce,CHOCOLATE & NOV,BAGGED CHOCOLATES,CHOCOLATE & NOVELTY CONFECTION,SPECIALTY GROCERY,100,ACTIVE,0000008,6.37,5.750,1.760
855188003974,85518800397,259050,,JUSTINS,JUSTINS CHOC DARK PB MINIS ORG,4.700,OZ,6,26.580,6.39,Specialty Groce,CHOCOLATE & NOV,BAGGED CHOCOLATES,CHOCOLATE & NOVELTY CONFECTION,SPECIALTY GROCERY,100,ACTIVE,0000008,6.37,5.750,1.760
070734529672,07073452967,259104,,CELESTIAL SEASO,CELESTIAL SEASONINGS TEA HERB SLEEPYTIME HNEY,20.00,BG,6,19.800,4.79,Natural Grocery,TEA,HERBAL TEA - BAGS,TEA,NATURAL GROCERY,100,ACTIVE,0000009,5.50,5.750,1.100
038274154303,03827415430,259146,,HENGSTENBERG,HENGSTENBERG SAUERKRAUT MILDESSA IN POUCH,14.10,OZ,6,13.500,3.29,Specialty Groce,OLIVES PICKLES,GERMAN,OLIVES PICKLES PEPPERS,SPECIALTY GROCERY,100,MANUFACTURER_TEMP_OUT,0000009,5.25,7.750,5.720
634039000689,63403900068,259149,,O,O OIL OLIVE XVIRGN,500.0,ML,6,72.840,17.39,Specialty Groce,OILS,OLIVE OILS,OILS & VINEGARS,SPECIALTY GROCERY,100,ACTIVE,0000005,8.25,12.000,12.000
845561000324,84556100032,259244,,KAFFREE ROMA,KAFFREE ROMA BEV COFFEE KAFFREE ROMA,7.000,OZ,6,41.760,9.99,Natural Grocery,COFFEE COCOA CI,COFFEE SUBSTITUTE,COFFEE & HOT CHOCOLATE,NATURAL GROCERY,100,ACTIVE,0000010,6.75,7.500,9.280
760712040014,76071204001,259300,,BOYLAN,BOYLAN SODA BLACK CHERRY,12.00,FO,12,15.240,1.89,Natural Grocery,CRAFT SODA,REGULAR,CRAFT SODA,NATURAL GROCERY,100,MANUFACTURER_TEMP_OUT,0000010,7.50,9.000,18.000
074682510041,07468251004,259378,,KNUDSEN,KNUDSEN JUICE SPRKL CRML APPLE,25.40,FO,12,35.640,4.79,Natural Grocery,CELEBRATION BEV,SPARKLING JUICE,CELEBRATION BEVERAGES,NATURAL GROCERY,100,ACTIVE,0000013,10.01,11.830,35.100
074682510058,07468251005,259380,,KNUDSEN,KNUDSEN JUICE SPRKL CIDER SPICE,25.40,FO,12,35.640,4.79,Natural Grocery,CELEBRATION BEV,SPARKLING JUICE,CELEBRATION BEVERAGES,NATURAL GROCERY,100,ACTIVE,0000013,10.00,11.500,35.100
074682510065,07468251006,259381,,KNUDSEN,KNUDSEN JUICE SPRKL PUMP SPICE,25.40,FO,12,35.640,4.79,Natural Grocery,CELEBRATION BEV,SPARKLING JUICE,CELEBRATION BEVERAGES,NATURAL GROCERY,100,ACTIVE,0000013,10.00,11.500,35.100
070925000621,07092500062,259412,,CHEERWINE,CHEERWINE SODA CHEERWINE,12.00,FO,24,27.360,1.69,Natural Grocery,CRAFT SODA,REGULAR,CRAFT SODA,NATURAL GROCERY,100,ACTIVE,0000016,11.00,9.500,35.000
851356004293,85135600429,259425,,SMARTYPANTS,SMARTYPANTS PRENATAL FORMULA,80.00,PC,1,16.900,24.19,Herbs,WOMEN,VITAMIN,WOMEN,VITAMINS MINERALS SUPPLEMENTS,100,ACTIVE,0000012,9.50,6.000,12.000
074265010975,07426501097,259431,,ZIYAD,ZIYAD TAHINI,8.000,OZ,12,41.640,4.99,Specialty Groce,MIDDLE EASTERN,NUT BUTTERS,NUT BUTTERS & TAHINI,SPECIALTY GROCERY,100,MANUFACTURER_TEMP_OUT,0000012,9.19,4.310,6.000
089836157058,08983615705,259433,,SIMPLY ORGANIC,SIMPLY ORGANIC SPICE TURKEY RUB,2.430,OZ,6,29.760,7.09,Specialty Groce,SPICES SEASONIN,GRAVY FOIL MIXES,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000006,4.60,5.200,3.210
856820160185,85682016018,259563,,STEAZ,STEAZ TEA ANTIOX BREW UNSPFT,16.00,FO,12,20.040,2.39,Natural Grocery,RTD TEA NON CAR,NON FUNCTIONAL,RTD TEA NON CARB,NATURAL GROCERY,100,MANUFACTURER_TEMP_OUT,0000008,10.63,6.000,14.000
856820160161,85682016016,259567,,STEAZ,STEAZ TEA ANTIOX BREW ZGJBLKY OG,16.00,FO,12,20.040,2.39,Natural Grocery,RTD TEA NON CAR,NON FUNCTIONAL,RTD TEA NON CARB,NATURAL GROCERY,100,MANUFACTURER_TEMP_OUT,0000008,10.63,6.000,14.000
898999006383,89899900638,259645,,VITA COCO,VITA COCO COCONUT OIL UNREFINED ORG,14.00,OZ,6,37.080,10.39,Specialty Groce,OILS,COCONUT OIL,OILS & VINEGARS,SPECIALTY GROCERY,100,MANUFACTURER_TEMP_OUT,0000010,7.19,4.190,10.200
021908459882,02190845988,259720,,CASCADIAN FARM,CASCADIAN FARM CEREAL HNY OAT CRUNCH,13.50,OZ,10,55.100,7.89,Natural Grocery,COLD CEREAL,ADULT & FAMILY CEREA,COLD CEREAL,NATURAL GROCERY,100,MANUFACTURER_TEMP_OUT,0000015,10.00,10.810,10.910
022014320707,02201432070,259752,,NORTH COAST,NORTH COAST JUICE HONEY CRISP APL ORG,32.00,OZ,6,38.820,9.29,Natural Grocery,SINGLE TYPE JUI,APPLE JUICE & CIDER,SINGLE TYPE JUICE,NATURAL GROCERY,100,ACTIVE,0000007,11.75,8.500,20.500
022014320509,02201432050,259756,,NORTH COAST,NORTH COAST JUICE APPLE ORG,32.00,OZ,6,38.820,9.29,Natural Grocery,SINGLE TYPE JUI,APPLE JUICE & CIDER,SINGLE TYPE JUICE,NATURAL GROCERY,100,ACTIVE,0000007,11.75,8.500,20.500
607959700939,60795970093,259779,,GAEA NORTH AMER,GAEA NORTH AMERICA OIL OLIVE XVIRGN FRESH,17.00,FO,6,96.360,22.99,Specialty Groce,OILS,OLIVE OILS,OILS & VINEGARS,SPECIALTY GROCERY,100,ACTIVE,0000007,4.96,11.460,12.040
